Tarih,Saat,CPU,RAM
2025-12-05,19:49:40,7.8,58.5
2025-12-05,19:49:41,5.5,58.8
2025-12-05,19:49:42,5.0,58.8
2025-12-05,19:49:43,6.4,58.8
2025-12-05,19:49:44,5.4,58.7
2025-12-05,19:49:45,6.4,58.7
2025-12-05,19:49:46,5.3,58.7
2025-12-05,19:49:47,5.3,58.7
2025-12-05,19:49:48,5.5,58.7
2025-12-05,19:49:49,5.8,58.7
2025-12-05,19:49:50,7.1,58.7
2025-12-05,19:49:51,8.3,58.9
2025-12-05,19:49:52,5.5,58.7
2025-12-05,19:49:53,5.5,58.7
2025-12-05,19:49:54,5.8,58.7
2025-12-05,19:49:55,6.8,58.7
2025-12-05,19:49:56,8.8,58.7
2025-12-05,19:49:57,7.0,58.7
2025-12-05,19:49:58,6.2,58.7
2025-12-05,19:49:59,5.6,58.7
2025-12-05,19:50:00,8.4,58.8
2025-12-05,19:50:01,5.7,58.7
2025-12-05,19:50:02,5.1,58.7
2025-12-05,19:50:03,6.5,58.7
2025-12-05,19:50:04,5.5,58.7
2025-12-05,19:50:05,6.0,58.7
2025-12-05,19:50:06,6.2,58.7
2025-12-05,19:50:07,5.7,58.7
2025-12-05,19:50:08,7.6,58.7
2025-12-05,19:50:09,9.1,58.7
