Tarih,Saat,CPU,RAM
2025-12-05,20:00:46,9.9,59.3
2025-12-05,20:00:46,9.3,59.0
2025-12-05,20:00:47,6.5,59.3
2025-12-05,20:00:47,6.7,59.4
2025-12-05,20:00:48,7.3,59.4
2025-12-05,20:00:48,7.5,58.9
2025-12-05,20:00:49,8.1,59.2
2025-12-05,20:00:49,8.1,59.2
2025-12-05,20:00:50,11.9,59.1
2025-12-05,20:00:50,11.7,59.2
2025-12-05,20:00:51,10.9,59.4
2025-12-05,20:00:51,11.2,59.2
2025-12-05,20:00:52,7.3,59.0
2025-12-05,20:00:52,7.2,58.9
2025-12-05,20:00:53,7.3,58.8
2025-12-05,20:00:53,7.2,58.9
