Tarih,Saat,CPU,RAM,ALARM
025-12-06,22:31:47,13.7,61.9,1
2025-12-06,22:31:48,4.4,62.0,0
2025-12-06,22:31:49,8.9,62.0,0
2025-12-06,22:31:51,11.1,62.0,1
2025-12-06,22:31:52,8.6,62.0,0
2025-12-06,22:31:53,10.5,61.9,1
2025-12-06,22:31:54,15.2,62.0,1
2025-12-06,22:31:55,6.4,62.0,0
2025-12-06,22:31:56,9.2,62.0,0
2025-12-06,22:31:57,8.3,62.0,0
2025-12-06,22:47:52,8.8,60.9,0
2025-12-06,22:47:53,15.3,60.8,1
2025-12-06,22:47:54,11.1,60.9,1
2025-12-06,22:47:55,9.9,60.8,0
2025-12-06,22:47:56,5.0,60.8,0
2025-12-06,22:47:57,3.3,60.8,0
2025-12-06,22:47:58,3.6,60.8,0
2025-12-06,22:47:59,4.7,60.8,0
2025-12-06,22:48:00,5.6,60.9,0
2025-12-06,22:48:01,6.8,60.8,0
2025-12-06,22:48:02,5.0,60.8,0
2025-12-06,22:48:03,4.3,60.8,0
2025-12-06,22:48:04,5.0,60.8,0
2025-12-06,22:48:05,9.3,60.8,0
2025-12-06,22:48:06,6.4,60.8,0
2025-12-06,22:48:07,6.4,60.8,0
2025-12-06,22:48:08,9.7,60.8,0
2025-12-06,22:48:09,9.6,60.8,0
2025-12-06,22:48:10,9.8,60.8,0
2025-12-06,22:48:11,10.6,60.9,1
2025-12-06,22:48:12,14.6,60.9,1
2025-12-06,22:48:14,13.9,60.9,1
2025-12-06,22:48:15,12.0,60.9,1
2025-12-06,22:48:16,11.5,60.6,1
