Tarih,Saat,CPU,Eşik
2025-12-07,14:49:50,CPU,11.2,10.0
2025-12-07,14:49:53,CPU,11.9,5.0
2025-12-07,14:49:54,CPU,7.3,5.0
2025-12-07,14:49:55,CPU,8.3,5.0
2025-12-07,14:49:56,CPU,7.3,5.0
2025-12-07,14:50:00,CPU,10.0,6.0
2025-12-07,14:50:01,CPU,7.2,6.0
2025-12-07,14:50:02,CPU,9.3,6.0
2025-12-07,14:50:03,CPU,12.6,6.0
2025-12-07,14:50:04,CPU,9.0,6.0
2025-12-07,14:50:05,CPU,10.7,6.0
2025-12-07,14:50:06,CPU,12.5,6.0
2025-12-07,14:50:07,CPU,8.2,6.0
2025-12-07,14:50:08,CPU,11.4,6.0
2025-12-07,14:50:09,CPU,8.9,6.0
2025-12-07,14:50:10,CPU,8.7,6.0
2025-12-07,14:50:11,CPU,8.4,6.0
2025-12-07,14:50:12,CPU,8.7,6.0
2025-12-07,14:50:12,RAM,47.7,42.0
2025-12-07,14:50:13,CPU,7.9,6.0
2025-12-07,14:50:13,RAM,47.7,42.0
2025-12-07,14:50:14,CPU,8.1,6.0
2025-12-07,14:50:14,RAM,47.7,42.0
2025-12-07,14:50:15,CPU,10.2,6.0
2025-12-07,14:50:15,RAM,47.8,42.0
2025-12-07,14:50:16,CPU,8.9,6.0
2025-12-07,14:50:16,RAM,47.7,47.0
2025-12-07,14:50:17,CPU,7.5,6.0
2025-12-07,14:50:17,RAM,47.7,47.0
2025-12-07,14:50:18,CPU,8.2,6.0
2025-12-07,14:50:18,RAM,47.7,47.0
2025-12-07,14:50:19,CPU,9.4,6.0
2025-12-07,14:50:19,RAM,47.7,47.0
2025-12-07,14:50:20,CPU,8.3,6.0
2025-12-07,14:50:20,RAM,47.7,47.0
2025-12-07,14:50:21,CPU,7.7,6.0
2025-12-07,14:50:21,RAM,47.7,47.0
2025-12-07,14:50:22,CPU,7.7,6.0
2025-12-07,14:50:22,RAM,47.7,47.0
2025-12-07,14:50:23,CPU,8.2,6.0
2025-12-07,14:50:23,RAM,47.7,47.6
2025-12-07,14:50:24,CPU,9.2,6.0
2025-12-07,14:50:24,RAM,47.7,47.6
2025-12-07,14:50:25,CPU,9.8,6.0
2025-12-07,14:50:25,RAM,47.7,47.6
2025-12-07,14:50:26,CPU,8.1,6.0
2025-12-07,14:50:26,RAM,47.7,47.0
2025-12-07,14:50:27,CPU,7.5,6.0
2025-12-07,14:50:28,CPU,7.4,6.0
2025-12-07,14:50:29,CPU,7.4,6.0
2025-12-07,14:50:30,CPU,7.5,6.0
2025-12-07,14:50:31,CPU,7.8,6.0
2025-12-07,14:50:32,CPU,11.0,6.0
2025-12-07,14:50:33,CPU,12.3,6.0
2025-12-07,14:50:33,RAM,47.8,47.8
2025-12-07,14:50:34,CPU,11.6,6.0
2025-12-07,14:50:34,RAM,47.9,47.8
