Tarih,Saat,RAM,RAM_Eşik
2025-12-07,18:29:56,52.2,50.0
2025-12-07,18:29:57,52.5,50.0
2025-12-07,18:29:58,52.2,50.0
2025-12-07,18:29:59,52.1,50.0
2025-12-07,18:30:00,52.1,50.0
2025-12-07,18:30:01,52.1,50.0
2025-12-07,18:30:02,52.1,50.0
2025-12-07,18:30:03,52.1,50.0
2025-12-07,18:30:04,52.1,50.0
2025-12-07,18:30:05,52.2,50.0
2025-12-07,18:30:06,52.1,50.0
2025-12-07,18:30:07,52.1,50.0
2025-12-07,18:30:08,52.1,50.0
2025-12-07,18:30:09,52.1,50.0
2025-12-07,18:30:10,52.2,50.0
2025-12-07,18:30:11,52.3,50.0
2025-12-07,18:30:12,52.2,50.0
