Tarih,Saat,CPU,RAM,CPU_Alarm,RAM_Alarm
2025-12-07,15:05:26,6.3,48.0,1,1
2025-12-07,15:05:27,6.1,47.9,1,0
2025-12-07,15:05:28,4.2,47.9,0,0
2025-12-07,15:05:45,5.3,48.2,0,1
2025-12-07,15:05:46,9.9,48.2,1,1
2025-12-07,15:05:47,11.6,47.9,1,0
2025-12-07,15:05:48,8.6,47.9,1,0
2025-12-07,15:05:49,10.1,47.9,1,0
2025-12-07,15:05:50,12.5,47.9,1,0
2025-12-07,15:05:51,9.2,47.9,1,0
2025-12-07,15:05:52,8.8,47.9,1,0
2025-12-07,15:05:53,8.6,47.9,1,0
2025-12-07,15:05:54,10.1,47.9,1,0
2025-12-07,15:05:55,8.1,47.9,1,0
2025-12-07,15:05:56,11.1,48.0,1,1
