Tarih,Saat,CPU,RAM,ALARM
2025-12-06,23:21:51,0.0,62.3,0
2025-12-06,23:21:52,9.8,62.3,0
2025-12-06,23:21:53,13.4,62.3,1
2025-12-06,23:21:54,9.6,62.3,0
2025-12-06,23:21:55,7.3,62.3,0
2025-12-06,23:21:56,7.6,62.2,0
2025-12-06,23:21:57,6.4,62.2,0
2025-12-06,23:21:58,12.8,62.2,1
2025-12-06,23:21:59,16.7,62.5,1
2025-12-06,23:22:00,10.6,62.4,1
2025-12-06,23:22:01,15.6,62.3,1
2025-12-06,23:22:02,9.0,62.2,0
2025-12-06,23:22:03,9.8,62.2,0
2025-12-06,23:22:04,9.2,62.2,0
2025-12-06,23:22:05,7.2,62.5,0
2025-12-06,23:22:06,5.1,62.4,0
2025-12-06,23:22:07,4.7,62.3,0
2025-12-06,23:22:08,5.5,62.2,0
2025-12-06,23:22:09,5.4,62.3,0
2025-12-06,23:22:10,3.6,62.3,0
2025-12-06,23:22:11,9.3,62.3,0
